date,price,,,,,
8/14/18,2452.44,,,,,
8/15/18,2663.46,,,,,
8/16/18,2735.55,,,,,
8/17/18,2920.77,,,,,
8/20/18,2779.18,,,,,
8/21/18,2693.02,,,,,
8/22/18,2630.96,,,,,
8/23/18,2655.87,,,,,
8/24/18,2775.8,,,,,
8/27/18,2914.55,,,,,
8/28/18,3172.04,,,,,
8/29/18,3063.57,,,,,
8/30/18,2880.49,,,,,
8/31/18,3052.11,,,,,
9/3/18,3194.65,,,,,
9/4/18,3213.49,,,,,
9/5/18,2829.79,,,,,
9/6/18,2704.19,,,,,
9/7/18,2707.46,,,,,
9/10/18,2581.58,,,,,
9/11/18,2489.75,,,,,
9/12/18,2461.74,,,,,
9/13/18,2590.44,,,,,
9/14/18,2646.64,,,,,
9/17/18,2511.99,,,,,
9/18/18,2579.89,,,,,
9/19/18,2615.69,,,,,
9/20/18,2649.77,,,,,
9/21/18,2973.09,,,,,
9/24/18,2887.31,,,,,
9/25/18,2687.96,,,,,
9/26/18,2790.85,,,,,
9/27/18,2923.33,,,,,
9/28/18,2881.24,,,,,
10/1/18,2854.46,,,,,
10/2/18,2870.62,,,,,
10/3/18,2789.24,,,,,
10/4/18,2887.4,,,,,
10/5/18,2892.97,,,,,
10/8/18,2991.54,,,,,
10/9/18,2929.8,,,,,
10/10/18,2921.19,,,,,
10/11/18,2610.06,,,,,
10/12/18,2613.98,,,,,
10/15/18,2707.37,,,,,
10/16/18,2731.39,,,,,
10/17/18,2745.41,,,,,
10/18/18,2688.06,,,,,
10/19/18,2697.13,,,,,
10/22/18,2753.79,,,,,
10/23/18,2771.82,,,,,
10/24/18,2790,,,,,
10/25/18,2745.71,,,,,
10/26/18,2745.5,,,,,
10/29/18,2591.02,,,,,
10/30/18,2601.06,,,,,
10/31/18,2635.11,,,,,
11/1/18,2651.93,,,,,
11/2/18,2705.3,,,,,
11/5/18,2742.4,,,,,
11/6/18,2792.43,,,,,
11/7/18,2808.65,,,,,
11/8/18,2757.56,,,,,
11/9/18,2689.55,,,,,
11/12/18,2688.17,,,,,
11/13/18,2637.03,,,,,
11/14/18,2211.89,,,,,
11/15/18,2218.52,,,,,
11/16/18,2220.53,,,,,
11/19/18,1867.67,,,,,
11/20/18,1617.14,,,,,
11/21/18,1684.28,,,,,
11/22/18,1692.25,,,,,
11/23/18,1559.87,,,,,
11/26/18,1361.63,,,,,
11/27/18,1400.31,,,,,
11/28/18,1658.77,,,,,
11/29/18,1603.56,,,,,
11/30/18,1511.26,,,,,
12/3/18,1470.01,,,,,
12/4/18,1511.55,,,,,
12/5/18,1458.81,,,,,
12/6/18,1342.37,,,,,
12/7/18,1230.89,,,,,
12/10/18,1270.11,,,,,
12/11/18,1250.6,,,,,
12/12/18,1293.84,,,,,
12/13/18,1223.14,,,,,
12/14/18,1182.48,,,,,
12/17/18,1360.5,,,,,
12/18/18,1359.75,,,,,
12/19/18,1493.47,,,,,
12/20/18,1561.83,,,,,
12/21/18,1563.37,,,,,
12/24/18,1718.14,,,,,
12/25/18,1577.94,,,,,
12/26/18,1574.84,,,,,
12/27/18,1457.68,,,,,
12/28/18,1638.69,,,,,
12/31/18,1506.95,,,,,
1/1/19,1540.3,,,,,
1/2/19,1614.94,,,,,
1/3/19,1568.52,,,,,
1/4/19,1597.26,,,,,
1/7/19,1662.25,,,,,
1/8/19,1709.6,,,,,
1/9/19,1753.96,,,,,
1/10/19,1539.29,,,,,
1/11/19,1556.48,,,,,
1/14/19,1549,,,,,
1/15/19,1489.02,,,,,
1/16/19,1552.4,,,,,
1/17/19,1585.27,,,,,
1/18/19,1566.6,,,,,
1/21/19,1572.12,,,,,
1/22/19,1621.29,,,,,
1/23/19,1589.09,,,,,
1/24/19,1614.56,,,,,
1/25/19,1610.8,,,,,
1/28/19,1493.64,,,,,
1/29/19,1495.03,,,,,
1/30/19,1510.84,,,,,
1/31/19,1453.87,,,,,
2/1/19,1485.87,,,,,
